,country,score,topic,review,category,sentiment
2551,United States,3,Sometimes It's Difficult,With the last update I can't close the screen I'm on by clicking the close button on the top left of the screen. IPHONE 6. Please fix.,bug report,neutral
2552,United States,3,HATE THE WAY THE ADVERTISEMENTS ARE NOW EMBEDDED MID VIDEO,HATE HATE HATE THE NEW ADVERTISEMENTS PLAYING MID VIDEO HATE HATE HATE.  DID I MENTION I HATE THE NEW FORMAT FOR THE ADS,requirement,negative
2553,United States,3,Why no edit?,Can't edit my post in mobile app on iPhone 6,bug report,neutral
2554,United States,3,Unable To Exit & Return To The Newsfeed,"Ugh! So frustrated with this latest update. I go into a post and I can never get out of it or get back to the newsfeed!! Stop trying to fix FB when it's not broken! Well, ok, now it's broken...so fix it!!!",bug report,positive
2555,United States,3,so much space,Takes up a lot of space...,requirement,positive
2556,United States,4,Worth it,"Great app.    Works well on my iPhone, strongly recommended.",other,neutral
2557,United States,4,"Facebook is the best, somehow I don't have close friends.","Facebook is one of the best social media sites to join your friends. However, friends who sent me a friend request to become my friend, I always accept their request. Unfortunately, I just greeted them, and they turned out to be a fraud.",other,negative
2558,United States,4,Question,"I don't have the new colors on my Facebook, why is that? Is there a setting?",bug report,negative
2559,Singapore,4,newsfeed,how come nowadays my newsfeed keep showing stuffs and news that are few days ago instead of the latest one ?! it's quite annoying..,requirement,positive
2560,United States,4,Constant Updates are annoying,"The app itself is good but updating it needs work. Used too you didn't need wifi to update it. I have Unlimited on my phone so I can update as much as I want. My parents however don't have wifi & they can't update their phones until they come to my house. I also have Hughes Net which honestly stinks where I live in the country. So either way it takes forever to do an Update. 
I also get sick of having to update Facebook every other day it seems like.",requirement,positive
2561,United States,4,Down Time,Easy to sit in my recliner and scan through FB.  Watch TV at the same time.  Catch up with FB friends.  Ahhh!,other,positive
2562,United States,4,"Good, but",I like the app except when it freezes on the news feed. Quite often.,bug report,neutral
2563,United States,4,Missing translate,We need the translate option back!!!!!    That would have made it 5/5 stars,requirement,positive
2564,United States,4,Love it,"Crashes a few times a month but bug fixes happen often.

Videos and pics don't always go right away but they fix stuff quick",bug report,positive
2565,United Kingdom,4,No Complaints,"Does what is always done, would be 5 if it did a better job of chronologically",requirement,positive
2566,United Kingdom,4,Awesome,Good shortcuts,other,positive
2567,United States,4,Great update!,Its faster lighter and now i can copy and paste. Good job,other,positive
2568,Canada,4,Great way to stay connected.,Met many people from my past. Able to communicate with family all over the world.,other,positive
2569,United States,4,Decent,Ads are annoying but it is decent.,other,positive
2570,India,4,Touch ID,"Hi Team,

Does Facebook enables Touch ID feature for i Phone users? Kindly troubleshoot.

Thanks!
Nitesh",requirement,neutral
2571,United States,4,Highly recommended,Great way to connect with family & friends,other,negative
2572,United Kingdom,4,Good app,"Good app! My only gripe is when I watch a live video, it doesn't always work.",bug report,positive
2573,Hong Kong,4,Good app,"Cannot open the app after latest update, but it is ok now after restart iphone",bug report,positive
2574,United States,4,Everything is good except...,On of my family members got hacked and still has not been done with I understand that we have a lot of other problems but this have been going on since last year,other,positive
2575,India,4,Meh,Alright.,other,positive
2576,United States,4,Best app,"This is the best app for social media!!!But tbh...you guys are updating it again and again with only little changes...,which make many users feel annoyed!This is the place where you could improve ðŸ’ªðŸ’ª",requirement,positive
2577,Canada,4,Good time killer,Convenient and easy to use,other,positive
2578,India,4,Great app but need improvements,"Well it's nice app though ( Anyway we don't choice) but I feel some of feature should be included

1) Why it refreshes its own: Sometime you are reading something important and your boss shows up :-( then u close app... later when you open again it refreshes and you lost where you were last time, sometimes you lost some life saving information because it goes directly to the first post on wall. 

2) Stop giving update every alternate day: It updates every alternate day and nothing seems new on update ( Worst is that unlike other app this guys don't give info about new feature included, man this ****. 

3) Give people freedom: Give people freedom for choosing their own colour. Tired of blue man..",requirement,negative
2579,Canada,4,Cool,I like the preview videos,other,positive
